hazard_code,admin_division,phase,task_modules,role,criticality
Z01,I,R,1;2;4;7,współpracujący,średnia
Z01,II,R,,wspierający,niska
Z01,III,R,1,wspierający,niska
Z01,IV,R,,wspierający,niska
Z01,V,R,1,wspierający,niska
Z01,VI,R,,wspierający,niska
Z01,VII,R,,wspierający,niska
Z01,VIII,R,,wspierający,niska
Z01,IX,R,1;2;4;7,wiodący,wysoka
Z01,X,R,,wspierający,niska
Z01,XI,R,,wspierający,niska
Z01,XII,R,,wspierający,niska
Z01,XIII,R,1;2;4;7,współpracujący,średnia
Z01,XIV,R,,wspierający,niska
Z01,XV,R,1;2;4;7,współpracujący,średnia
Z01,XVI,R,,wspierający,niska
Z01,XVII,R,1;2;4;7,współpracujący,średnia
Z01,XVIII,R,1,wspierający,niska
Z01,XIX,R,1;2;4;7,współpracujący,średnia
Z01,XX,R,1;2;4;7,współpracujący,średnia
Z01,XXI,R,,wspierający,niska
Z01,XXII,R,,wspierający,niska
Z01,XXIII,R,,wspierający,niska
Z01,XXIV,R,,wspierający,niska
Z01,XXV,R,1,wspierający,niska
Z01,I,O,1,wspierający,niska
Z01,II,O,,wspierający,niska
Z01,III,O,2;3;7,współpracujący,średnia
Z01,IV,O,,wspierający,niska
Z01,V,O,2;3;7,współpracujący,średnia
Z01,VI,O,,wspierający,niska
Z01,VII,O,,wspierający,niska
Z01,VIII,O,,wspierający,niska
Z01,IX,O,2;3;7,wiodący,wysoka
Z01,X,O,,wspierający,niska
Z01,XI,O,,wspierający,niska
Z01,XII,O,,wspierający,niska
Z01,XIII,O,,wspierający,niska
Z01,XIV,O,,wspierający,niska
Z01,XV,O,2;3;7,współpracujący,średnia
Z01,XVI,O,2;3;7,współpracujący,średnia
Z01,XVII,O,,wspierający,niska
Z01,XVIII,O,1,wspierający,niska
Z01,XIX,O,,wspierający,niska
Z01,XX,O,1,wspierający,niska
Z01,XXI,O,,wspierający,niska
Z01,XXII,O,,wspierający,niska
Z01,XXIII,O,2;3;7,wiodący,wysoka
Z01,XXIV,O,,wspierający,niska
Z01,XXV,O,1,wspierający,niska
Z02,I,R,1,wspierający,niska
Z02,II,R,,wspierający,niska
Z02,III,R,1,wspierający,niska
Z02,IV,R,1;2;4;7,współpracujący,średnia
Z02,V,R,1,wspierający,niska
Z02,VI,R,,wspierający,niska
Z02,VII,R,,wspierający,niska
Z02,VIII,R,1;2;4;5;7,wiodący,wysoka
Z02,IX,R,1;2;4;7,współpracujący,średnia
Z02,X,R,,wspierający,niska
Z02,XI,R,,wspierający,niska
Z02,XII,R,,wspierający,niska
Z02,XIII,R,1;2;4;7,współpracujący,średnia
Z02,XIV,R,1;2;4;5;7,współpracujący,średnia
Z02,XV,R,,wspierający,niska
Z02,XVI,R,,wspierający,niska
Z02,XVII,R,,wspierający,niska
Z02,XVIII,R,1,wspierający,niska
Z02,XIX,R,1;2;4;5;7,wiodący,wysoka
Z02,XX,R,1,wspierający,niska
Z02,XXI,R,1;2;4;7,współpracujący,średnia
Z02,XXII,R,1;2;4;5;7,współpracujący,średnia
Z02,XXIII,R,1;2;4;7,współpracujący,średnia
Z02,XXIV,R,1;2;4;7,współpracujący,średnia
Z02,XXV,R,1,wspierający,niska
Z02,I,O,1,wspierający,niska
Z02,II,O,2;3;4;6;7,wiodący,wysoka
Z02,III,O,1,wspierający,niska
Z02,IV,O,2;3;4;6;7,współpracujący,średnia
Z02,V,O,1,wspierający,niska
Z02,VI,O,,wspierający,niska
Z02,VII,O,,wspierający,niska
Z02,VIII,O,2;3;4;6;7,wiodący,wysoka
Z02,IX,O,2;3;4;6;7,współpracujący,średnia
Z02,X,O,,wspierający,niska
Z02,XI,O,,wspierający,niska
Z02,XII,O,,wspierający,niska
Z02,XIII,O,2;3;4;6;7,współpracujący,średnia
Z02,XIV,O,,wspierający,niska
Z02,XV,O,,wspierający,niska
Z02,XVI,O,,wspierający,niska
Z02,XVII,O,,wspierający,niska
Z02,XVIII,O,1,wspierający,niska
Z02,XIX,O,2;3;4;6;7,współpracujący,średnia
Z02,XX,O,1,wspierający,niska
Z02,XXI,O,2;3;4;6;7,współpracujący,średnia
Z02,XXII,O,2;3;4;6;7,wiodący,wysoka
Z02,XXIII,O,2;3;4;6;7,współpracujący,średnia
Z02,XXIV,O,2;3;4;6;7,współpracujący,średnia
Z02,XXV,O,1,wspierający,niska
Z03,I,R,1,wspierający,niska
Z03,II,R,,wspierający,niska
Z03,III,R,1,wspierający,niska
Z03,IV,R,,wspierający,niska
Z03,V,R,1;4;7,współpracujący,średnia
Z03,VI,R,,wspierający,niska
Z03,VII,R,,wspierający,niska
Z03,VIII,R,,wspierający,niska
Z03,IX,R,,wspierający,niska
Z03,X,R,1;4;7,wiodący,wysoka
Z03,XI,R,,wspierający,niska
Z03,XII,R,,wspierający,niska
Z03,XIII,R,1;4;7,współpracujący,średnia
Z03,XIV,R,1;4;7,współpracujący,średnia
Z03,XV,R,,wspierający,niska
Z03,XVI,R,,wspierający,niska
Z03,XVII,R,,wspierający,niska
Z03,XVIII,R,1,wspierający,niska
Z03,XIX,R,1;4;7,współpracujący,średnia
Z03,XX,R,1,wspierający,niska
Z03,XXI,R,,wspierający,niska
Z03,XXII,R,,wspierający,niska
Z03,XXIII,R,,wspierający,niska
Z03,XXIV,R,,wspierający,niska
Z03,XXV,R,1;4;7,współpracujący,średnia
Z03,I,O,1,wspierający,niska
Z03,II,O,,wspierający,niska
Z03,III,O,1,wspierający,niska
Z03,IV,O,,wspierający,niska
Z03,V,O,3;4;7,współpracujący,średnia
Z03,VI,O,3;4;7,współpracujący,średnia
Z03,VII,O,,wspierający,niska
Z03,VIII,O,,wspierający,niska
Z03,IX,O,,wspierający,niska
Z03,X,O,3;4;7,wiodący,wysoka
Z03,XI,O,,wspierający,niska
Z03,XII,O,,wspierający,niska
Z03,XIII,O,3;4;7,współpracujący,średnia
Z03,XIV,O,,wspierający,niska
Z03,XV,O,,wspierający,niska
Z03,XVI,O,,wspierający,niska
Z03,XVII,O,,wspierający,niska
Z03,XVIII,O,1,wspierający,niska
Z03,XIX,O,,wspierający,niska
Z03,XX,O,1,wspierający,niska
Z03,XXI,O,,wspierający,niska
Z03,XXII,O,,wspierający,niska
Z03,XXIII,O,,wspierający,niska
Z03,XXIV,O,,wspierający,niska
Z03,XXV,O,3;4;7,współpracujący,średnia
Z04,I,R,1;4;7,współpracujący,średnia
Z04,II,R,,wspierający,niska
Z04,III,R,1,wspierający,niska
Z04,IV,R,,wspierający,niska
Z04,V,R,1,wspierający,niska
Z04,VI,R,,wspierający,niska
Z04,VII,R,,wspierający,niska
Z04,VIII,R,,wspierający,niska
Z04,IX,R,,wspierający,niska
Z04,X,R,1;4;5;7,wiodący,wysoka
Z04,XI,R,,wspierający,niska
Z04,XII,R,,wspierający,niska
Z04,XIII,R,1;4;7,współpracujący,średnia
Z04,XIV,R,1;4;5;7,wiodący,wysoka
Z04,XV,R,,wspierający,niska
Z04,XVI,R,,wspierający,niska
Z04,XVII,R,,wspierający,niska
Z04,XVIII,R,1;4;7,współpracujący,średnia
Z04,XIX,R,1;4;5;7,wiodący,wysoka
Z04,XX,R,1;4;7,współpracujący,średnia
Z04,XXI,R,,wspierający,niska
Z04,XXII,R,,wspierający,niska
Z04,XXIII,R,,wspierający,niska
Z04,XXIV,R,,wspierający,niska
Z04,XXV,R,1,wspierający,niska
Z04,I,O,3;7,wiodący,wysoka
Z04,II,O,,wspierający,niska
Z04,III,O,1,wspierający,niska
Z04,IV,O,,wspierający,niska
Z04,V,O,1,wspierający,niska
Z04,VI,O,,wspierający,niska
Z04,VII,O,,wspierający,niska
Z04,VIII,O,,wspierający,niska
Z04,IX,O,,wspierający,niska
Z04,X,O,3;7,wiodący,wysoka
Z04,XI,O,,wspierający,niska
Z04,XII,O,,wspierający,niska
Z04,XIII,O,3;7,współpracujący,średnia
Z04,XIV,O,,wspierający,niska
Z04,XV,O,,wspierający,niska
Z04,XVI,O,,wspierający,niska
Z04,XVII,O,,wspierający,niska
Z04,XVIII,O,3;7,współpracujący,średnia
Z04,XIX,O,,wspierający,niska
Z04,XX,O,3;7,współpracujący,średnia
Z04,XXI,O,,wspierający,niska
Z04,XXII,O,,wspierający,niska
Z04,XXIII,O,,wspierający,niska
Z04,XXIV,O,,wspierający,niska
Z04,XXV,O,1,wspierający,niska
Z05,I,R,1,wspierający,niska
Z05,II,R,,wspierający,niska
Z05,III,R,1,wspierający,niska
Z05,IV,R,1;2;7,współpracujący,średnia
Z05,V,R,1,wspierający,niska
Z05,VI,R,,wspierający,niska
Z05,VII,R,,wspierający,niska
Z05,VIII,R,1;2;7,wiodący,wysoka
Z05,IX,R,1;2;7,współpracujący,średnia
Z05,X,R,,wspierający,niska
Z05,XI,R,,wspierający,niska
Z05,XII,R,,wspierający,niska
Z05,XIII,R,,wspierający,niska
Z05,XIV,R,,wspierający,niska
Z05,XV,R,,wspierający,niska
Z05,XVI,R,,wspierający,niska
Z05,XVII,R,1;2;7,współpracujący,średnia
Z05,XVIII,R,1,wspierający,niska
Z05,XIX,R,,wspierający,niska
Z05,XX,R,1,wspierający,niska
Z05,XXI,R,1;2;7,współpracujący,średnia
Z05,XXII,R,,wspierający,niska
Z05,XXIII,R,,wspierający,niska
Z05,XXIV,R,1;2;7,wiodący,wysoka
Z05,XXV,R,1,wspierający,niska
Z05,I,O,1,wspierający,niska
Z05,II,O,,wspierający,niska
Z05,III,O,3;6;7,współpracujący,średnia
Z05,IV,O,,wspierający,niska
Z05,V,O,3;6;7,współpracujący,średnia
Z05,VI,O,,wspierający,niska
Z05,VII,O,,wspierający,niska
Z05,VIII,O,3;6;7,wiodący,wysoka
Z05,IX,O,,wspierający,niska
Z05,X,O,,wspierający,niska
Z05,XI,O,,wspierający,niska
Z05,XII,O,,wspierający,niska
Z05,XIII,O,,wspierający,niska
Z05,XIV,O,,wspierający,niska
Z05,XV,O,,wspierający,niska
Z05,XVI,O,,wspierający,niska
Z05,XVII,O,3;6;7,wiodący,wysoka
Z05,XVIII,O,1,wspierający,niska
Z05,XIX,O,,wspierający,niska
Z05,XX,O,1,wspierający,niska
Z05,XXI,O,3;6;7,współpracujący,średnia
Z05,XXII,O,,wspierający,niska
Z05,XXIII,O,,wspierający,niska
Z05,XXIV,O,3;6;7,współpracujący,średnia
Z05,XXV,O,1,wspierający,niska
Z06,I,R,1,wspierający,niska
Z06,II,R,,wspierający,niska
Z06,III,R,1,wspierający,niska
Z06,IV,R,,wspierający,niska
Z06,V,R,1;2;7,współpracujący,średnia
Z06,VI,R,,wspierający,niska
Z06,VII,R,,wspierający,niska
Z06,VIII,R,,wspierający,niska
Z06,IX,R,1;2;7,współpracujący,średnia
Z06,X,R,,wspierający,niska
Z06,XI,R,,wspierający,niska
Z06,XII,R,,wspierający,niska
Z06,XIII,R,,wspierający,niska
Z06,XIV,R,,wspierający,niska
Z06,XV,R,,wspierający,niska
Z06,XVI,R,,wspierający,niska
Z06,XVII,R,1;2;7,wiodący,wysoka
Z06,XVIII,R,1,wspierający,niska
Z06,XIX,R,1;2;7,współpracujący,średnia
Z06,XX,R,1;2;7,współpracujący,średnia
Z06,XXI,R,,wspierający,niska
Z06,XXII,R,,wspierający,niska
Z06,XXIII,R,,wspierający,niska
Z06,XXIV,R,,wspierający,niska
Z06,XXV,R,1,wspierający,niska
Z06,I,O,1,wspierający,niska
Z06,II,O,,wspierający,niska
Z06,III,O,1,wspierający,niska
Z06,IV,O,,wspierający,niska
Z06,V,O,3;6;7,współpracujący,średnia
Z06,VI,O,3;6;7,współpracujący,średnia
Z06,VII,O,,wspierający,niska
Z06,VIII,O,,wspierający,niska
Z06,IX,O,,wspierający,niska
Z06,X,O,,wspierający,niska
Z06,XI,O,,wspierający,niska
Z06,XII,O,,wspierający,niska
Z06,XIII,O,,wspierający,niska
Z06,XIV,O,,wspierający,niska
Z06,XV,O,,wspierający,niska
Z06,XVI,O,,wspierający,niska
Z06,XVII,O,3;6;7,wiodący,wysoka
Z06,XVIII,O,1,wspierający,niska
Z06,XIX,O,,wspierający,niska
Z06,XX,O,3;6;7,współpracujący,średnia
Z06,XXI,O,,wspierający,niska
Z06,XXII,O,,wspierający,niska
Z06,XXIII,O,,wspierający,niska
Z06,XXIV,O,,wspierający,niska
Z06,XXV,O,1,wspierający,niska
Z07,I,R,1,wspierający,niska
Z07,II,R,,wspierający,niska
Z07,III,R,1,wspierający,niska
Z07,IV,R,1;2;3;4;7,wiodący,wysoka
Z07,V,R,1,wspierający,niska
Z07,VI,R,,wspierający,niska
Z07,VII,R,,wspierający,niska
Z07,VIII,R,,wspierający,niska
Z07,IX,R,1;2;3;4;7,współpracujący,średnia
Z07,X,R,,wspierający,niska
Z07,XI,R,,wspierający,niska
Z07,XII,R,,wspierający,niska
Z07,XIII,R,1;2;3;4;7,współpracujący,średnia
Z07,XIV,R,,wspierający,niska
Z07,XV,R,,wspierający,niska
Z07,XVI,R,,wspierający,niska
Z07,XVII,R,,wspierający,niska
Z07,XVIII,R,1,wspierający,niska
Z07,XIX,R,1;2;3;4;7,współpracujący,średnia
Z07,XX,R,1,wspierający,niska
Z07,XXI,R,,wspierający,niska
Z07,XXII,R,1;2;3;4;7,współpracujący,średnia
Z07,XXIII,R,,wspierający,niska
Z07,XXIV,R,,wspierający,niska
Z07,XXV,R,1;2;3;4;7,współpracujący,średnia
Z07,I,O,1,wspierający,niska
Z07,II,O,,wspierający,niska
Z07,III,O,1,wspierający,niska
Z07,IV,O,3;4;7,wiodący,wysoka
Z07,V,O,1,wspierający,niska
Z07,VI,O,3;4;7,współpracujący,średnia
Z07,VII,O,,wspierający,niska
Z07,VIII,O,,wspierający,niska
Z07,IX,O,,wspierający,niska
Z07,X,O,,wspierający,niska
Z07,XI,O,,wspierający,niska
Z07,XII,O,,wspierający,niska
Z07,XIII,O,3;4;7,współpracujący,średnia
Z07,XIV,O,,wspierający,niska
Z07,XV,O,,wspierający,niska
Z07,XVI,O,,wspierający,niska
Z07,XVII,O,,wspierający,niska
Z07,XVIII,O,1,wspierający,niska
Z07,XIX,O,,wspierający,niska
Z07,XX,O,1,wspierający,niska
Z07,XXI,O,,wspierający,niska
Z07,XXII,O,3;4;7,współpracujący,średnia
Z07,XXIII,O,,wspierający,niska
Z07,XXIV,O,,wspierający,niska
Z07,XXV,O,3;4;7,wiodący,wysoka
Z08,I,R,1,wspierający,niska
Z08,II,R,,wspierający,niska
Z08,III,R,1,wspierający,niska
Z08,IV,R,1;2;4;7,współpracujący,średnia
Z08,V,R,1,wspierający,niska
Z08,VI,R,,wspierający,niska
Z08,VII,R,,wspierający,niska
Z08,VIII,R,1;2;4;7,współpracujący,średnia
Z08,IX,R,,wspierający,niska
Z08,X,R,,wspierający,niska
Z08,XI,R,,wspierający,niska
Z08,XII,R,,wspierający,niska
Z08,XIII,R,1;2;4;7,współpracujący,średnia
Z08,XIV,R,,wspierający,niska
Z08,XV,R,,wspierający,niska
Z08,XVI,R,,wspierający,niska
Z08,XVII,R,,wspierający,niska
Z08,XVIII,R,1,wspierający,niska
Z08,XIX,R,1;2;4;7,wiodący,wysoka
Z08,XX,R,1,wspierający,niska
Z08,XXI,R,,wspierający,niska
Z08,XXII,R,1;2;4;7,współpracujący,średnia
Z08,XXIII,R,,wspierający,niska
Z08,XXIV,R,1;2;4;7,współpracujący,średnia
Z08,XXV,R,1,wspierający,niska
Z08,I,O,1,wspierający,niska
Z08,II,O,3;4;7,wiodący,wysoka
Z08,III,O,1,wspierający,niska
Z08,IV,O,3;4;7,współpracujący,średnia
Z08,V,O,1,wspierający,niska
Z08,VI,O,,wspierający,niska
Z08,VII,O,,wspierający,niska
Z08,VIII,O,,wspierający,niska
Z08,IX,O,,wspierający,niska
Z08,X,O,,wspierający,niska
Z08,XI,O,,wspierający,niska
Z08,XII,O,,wspierający,niska
Z08,XIII,O,3;4;7,współpracujący,średnia
Z08,XIV,O,,wspierający,niska
Z08,XV,O,,wspierający,niska
Z08,XVI,O,,wspierający,niska
Z08,XVII,O,,wspierający,niska
Z08,XVIII,O,1,wspierający,niska
Z08,XIX,O,,wspierający,niska
Z08,XX,O,1,wspierający,niska
Z08,XXI,O,3;4;7,współpracujący,średnia
Z08,XXII,O,3;4;7,wiodący,wysoka
Z08,XXIII,O,,wspierający,niska
Z08,XXIV,O,,wspierający,niska
Z08,XXV,O,1,wspierający,niska
Z09,I,R,1,wspierający,niska
Z09,II,R,,wspierający,niska
Z09,III,R,1,wspierający,niska
Z09,IV,R,1;2;7,współpracujący,średnia
Z09,V,R,1,wspierający,niska
Z09,VI,R,1;2;5;7,wiodący,wysoka
Z09,VII,R,,wspierający,niska
Z09,VIII,R,,wspierający,niska
Z09,IX,R,,wspierający,niska
Z09,X,R,,wspierający,niska
Z09,XI,R,,wspierający,niska
Z09,XII,R,,wspierający,niska
Z09,XIII,R,,wspierający,niska
Z09,XIV,R,1;2;5;7,współpracujący,średnia
Z09,XV,R,,wspierający,niska
Z09,XVI,R,,wspierający,niska
Z09,XVII,R,,wspierający,niska
Z09,XVIII,R,1,wspierający,niska
Z09,XIX,R,1;2;5;7,współpracujący,średnia
Z09,XX,R,1,wspierający,niska
Z09,XXI,R,,wspierający,niska
Z09,XXII,R,1;2;5;7,współpracujący,średnia
Z09,XXIII,R,,wspierający,niska
Z09,XXIV,R,,wspierający,niska
Z09,XXV,R,1;2;5;7,wiodący,wysoka
Z09,I,O,1,wspierający,niska
Z09,II,O,,wspierający,niska
Z09,III,O,1,wspierający,niska
Z09,IV,O,3;6;7,współpracujący,średnia
Z09,V,O,3;6;7,współpracujący,średnia
Z09,VI,O,3;6;7,wiodący,wysoka
Z09,VII,O,,wspierający,niska
Z09,VIII,O,,wspierający,niska
Z09,IX,O,,wspierający,niska
Z09,X,O,,wspierający,niska
Z09,XI,O,,wspierający,niska
Z09,XII,O,,wspierający,niska
Z09,XIII,O,,wspierający,niska
Z09,XIV,O,,wspierający,niska
Z09,XV,O,,wspierający,niska
Z09,XVI,O,,wspierający,niska
Z09,XVII,O,,wspierający,niska
Z09,XVIII,O,1,wspierający,niska
Z09,XIX,O,,wspierający,niska
Z09,XX,O,1,wspierający,niska
Z09,XXI,O,,wspierający,niska
Z09,XXII,O,3;6;7,współpracujący,średnia
Z09,XXIII,O,,wspierający,niska
Z09,XXIV,O,,wspierający,niska
Z09,XXV,O,3;6;7,wiodący,wysoka
Z10,I,R,1,wspierający,niska
Z10,II,R,,wspierający,niska
Z10,III,R,1,wspierający,niska
Z10,IV,R,,wspierający,niska
Z10,V,R,1,wspierający,niska
Z10,VI,R,,wspierający,niska
Z10,VII,R,,wspierający,niska
Z10,VIII,R,,wspierający,niska
Z10,IX,R,1;2;4;7,współpracujący,średnia
Z10,X,R,,wspierający,niska
Z10,XI,R,,wspierający,niska
Z10,XII,R,,wspierający,niska
Z10,XIII,R,,wspierający,niska
Z10,XIV,R,1;2;4;5;7,współpracujący,średnia
Z10,XV,R,,wspierający,niska
Z10,XVI,R,,wspierający,niska
Z10,XVII,R,,wspierający,niska
Z10,XVIII,R,1,wspierający,niska
Z10,XIX,R,1;2;4;5;7,wiodący,wysoka
Z10,XX,R,1,wspierający,niska
Z10,XXI,R,1;2;4;5;7,wiodący,wysoka
Z10,XXII,R,1;2;4;5;7,współpracujący,średnia
Z10,XXIII,R,,wspierający,niska
Z10,XXIV,R,1;2;4;7,współpracujący,średnia
Z10,XXV,R,1,wspierający,niska
Z10,I,O,1,wspierający,niska
Z10,II,O,3;6;7,współpracujący,średnia
Z10,III,O,1,wspierający,niska
Z10,IV,O,,wspierający,niska
Z10,V,O,1,wspierający,niska
Z10,VI,O,,wspierający,niska
Z10,VII,O,,wspierający,niska
Z10,VIII,O,,wspierający,niska
Z10,IX,O,3;6;7,współpracujący,średnia
Z10,X,O,,wspierający,niska
Z10,XI,O,,wspierający,niska
Z10,XII,O,,wspierający,niska
Z10,XIII,O,,wspierający,niska
Z10,XIV,O,,wspierający,niska
Z10,XV,O,,wspierający,niska
Z10,XVI,O,,wspierający,niska
Z10,XVII,O,,wspierający,niska
Z10,XVIII,O,1,wspierający,niska
Z10,XIX,O,,wspierający,niska
Z10,XX,O,1,wspierający,niska
Z10,XXI,O,3;6;7,wiodący,wysoka
Z10,XXII,O,,wspierający,niska
Z10,XXIII,O,3;6;7,współpracujący,średnia
Z10,XXIV,O,,wspierający,niska
Z10,XXV,O,1,wspierający,niska
Z11,I,R,1,wspierający,niska
Z11,II,R,,wspierający,niska
Z11,III,R,1,wspierający,niska
Z11,IV,R,,wspierający,niska
Z11,V,R,1,wspierający,niska
Z11,VI,R,1;2;7,współpracujący,średnia
Z11,VII,R,,wspierający,niska
Z11,VIII,R,,wspierający,niska
Z11,IX,R,1;2;7,współpracujący,średnia
Z11,X,R,,wspierający,niska
Z11,XI,R,,wspierający,niska
Z11,XII,R,,wspierający,niska
Z11,XIII,R,,wspierający,niska
Z11,XIV,R,,wspierający,niska
Z11,XV,R,,wspierający,niska
Z11,XVI,R,,wspierający,niska
Z11,XVII,R,1;2;7,wiodący,wysoka
Z11,XVIII,R,1,wspierający,niska
Z11,XIX,R,,wspierający,niska
Z11,XX,R,1,wspierający,niska
Z11,XXI,R,1;2;7,współpracujący,średnia
